Departement,Classement,NomReel,Dizaines,Unites
75,1,Paris,0,1
13,2,Marseille,0,2
69,3,Lyon,0,3
31,4,Toulouse,0,4
06,5,Nice,0,5
44,6,Nantes,0,6
67,7,Strasbourg,0,7
34,8,Montpellier,0,8
33,9,Bordeaux,0,9
59,10,Lille,1,0
35,11,Rennes,1,1
51,12,Reims,1,2
76,13,Le Havre,1,3
42,14,Saint-Étienne,1,4
83,15,Toulon,1,5
38,16,Grenoble,1,6
21,17,Dijon,1,7
49,18,Angers,1,8
974,19,Saint-Denis,1,9
72,20,Le Mans,2,0
29,22,Brest,2,2
30,24,Nîmes,2,4
87,25,Limoges,2,5
63,26,Clermont-Ferrand,2,6
37,27,Tours,2,7
80,28,Amiens,2,8
57,29,Metz,2,9
25,30,Besançon,3,0
66,31,Perpignan,3,1
45,32,Orléans,3,2
92,33,Boulogne-Billancourt,3,3
68,34,Mulhouse,3,4
14,35,Caen,3,5
54,37,Nancy,3,7
93,38,Saint-Denis,3,8
95,40,Argenteuil,4,0
84,45,Avignon,4,5
86,47,Poitiers,4,7
94,48,Créteil,4,8
972,49,Fort-de-France,4,9
78,50,Versailles,5,0
64,53,Pau,5,3
17,60,La Rochelle,6,0
62,63,Calais,6,3
18,68,Bourges,6,8
2A,73,Ajaccio,7,3
26,74,Valence,7,4
10,80,Troyes,8,0
971,85,Abymes,8,5
79,87,Niort,8,7
56,88,Lorient,8,8
976,91,Mamoudzou,9,1
02,92,Saint-Quentin,9,2
73,93,Chambéry,9,3
82,96,Montauban,9,6
973,97,Cayenne,9,7
60,99,Beauvais,9,9
77,106,Chelles,10,6
91,112,Évry,11,2
85,114,La Roche-sur-Yon,11,4
11,118,Narbonne,11,8
53,119,Laval,11,9
08,120,Charleville-Mézières,12,0
27,121,Évreux,12,1
90,124,Belfort,12,4
74,125,Annecy,12,5
19,126,Brive-la-Gaillarde,12,6
81,128,Albi,12,8
41,134,Blois,13,4
71,139,Chalon-sur-Saône,13,9
36,140,Châteauroux,14,0
22,141,Saint-Brieuc,14,1
65,148,Tarbes,14,8
2B,150,Bastia,15,0
16,152,Angoulême,15,2
01,176,Bourg-en-Bresse,17,6
50,177,Cherbourg-Octeville,17,7
03,179,Montluçon,17,9
28,181,Chartres,18,1
05,186,Gap,18,6
58,194,Nevers,19,4
89,199,Auxerre,19,9
47,230,Agen,23,0
88,234,Épinal,23,4
40,260,Mont-de-Marsan,26,0
24,274,Périgueux,27,4
15,284,Aurillac,28,4
61,297,Alençon,29,7
52,314,Saint-Dizier,31,4
39,336,Dole,33,6
12,352,Rodez,35,2
04,388,Manosque,38,8
32,405,Auch,40,5
46,445,Cahors,44,5
55,464,Verdun,46,4
43,480,Le Puy-en-Velay,48,0
07,529,Annonay,52,9
70,560,Vesoul,56,0
09,578,Pamiers,57,8
23,654,Guéret,65,4
48,760,Mende,76,0
975,1641,Saint-Pierre-et-Miquelon,164,1
